id,input_tokens,feat_1,feat_2,feat_3,priority,output
10382,T_32 T_00 T_17 T_15 T_09 T_12 T_37,-0.922,53.57,0.048,1,0-7-2
10383,T_02 T_01 T_24 T_33 T_12 T_26 T_20,0.1,3.12,1.32,5,0-9-1
10384,T_30 T_12 T_03 T_17 T_27 T_22 T_07,-0.335,68.63,1.106,1,1-7-2
10385,T_29 T_22 T_10 T_23 T_07 T_32,-0.135,48.72,1.107,5,1-8-0
10386,T_07 T_26 T_05 T_02 T_20 T_30,-1.229,79.1,0.468,2,0-9-0
10387,T_06 T_27 T_15 T_12 T_33 T_09,-0.412,81.53,5.883,1,1-7-4
10388,T_04 T_33 T_08 T_20 T_25 T_00 T_07,1.812,23.05,0.007,5,0-9-0
10389,T_36 T_35 T_14 T_01 T_16 T_03 T_30,0.579,4.84,4.443,1,1-8-1
10390,T_34 T_28 T_15 T_17 T_38 T_35,-2.491,70.32,2.67,5,1-8-3
10391,T_14 T_29 T_32 T_08 T_24 T_07 T_00,1.217,97.78,0.378,5,0-8-2
10392,T_05 T_24 T_06 T_35 T_33 T_27 T_15,1.09,44.67,1.278,4,0-7-1
10393,T_01 T_12 T_19 T_11 T_18 T_14 T_31,-0.359,25.96,8.993,1,0-8-2
10394,T_27 T_26 T_14 T_35 T_28 T_31 T_37,0.717,15.67,2.064,2,1-5-4
10395,T_30 T_28 T_11 T_15 T_14 T_16,-0.859,28.74,0.273,3,1-7-2
10396,T_15 T_32 T_33 T_37 T_06 T_34 T_35,-0.47,32.79,1.224,3,1-5-0
10397,T_24 T_23 T_17 T_37 T_19 T_09 T_11,1.499,42.39,1.263,1,0-7-3
10398,T_34 T_16 T_02 T_37 T_00 T_38,-0.272,65.54,3.242,5,1-8-1
10399,T_24 T_15 T_08 T_25 T_19 T_00,-1.87,27.32,4.958,5,0-7-0
10400,T_10 T_24 T_29 T_14 T_28 T_34,-0.063,5.1,0.172,2,0-8-0
10401,T_17 T_15 T_36 T_29 T_23 T_31,-0.079,37.33,0.754,1,0-8-3
10402,T_38 T_25 T_19 T_26 T_01 T_18,1.198,85.56,0.709,3,1-8-2
10403,T_22 T_07 T_09 T_24 T_23 T_17 T_27,0.014,49.84,11.067,2,1-7-3
10404,T_13 T_27 T_09 T_16 T_33 T_32 T_06,-0.422,96.48,1.638,1,0-5-1
10405,T_09 T_38 T_16 T_12 T_17 T_02,1.045,50.36,4.238,1,0-8-0
10406,T_35 T_04 T_12 T_17 T_15 T_02,0.121,27.59,1.11,1,0-7-2
10407,T_30 T_14 T_31 T_15 T_36 T_19,-0.75,19.33,2.565,4,0-8-1
10408,T_07 T_34 T_03 T_01 T_31 T_04,1.155,69.45,0.675,2,1-5-1
10409,T_12 T_16 T_32 T_09 T_22 T_11,0.194,53.64,4.856,1,0-7-4
10410,T_11 T_10 T_03 T_14 T_35 T_23 T_05,0.003,60.4,1.214,2,0-7-1
10411,T_13 T_25 T_26 T_35 T_28 T_03,0.178,75.51,3.256,3,1-6-0
10412,T_35 T_36 T_26 T_06 T_10 T_14,-1.071,72.59,0.591,1,1-8-2
10413,T_14 T_27 T_00 T_24 T_23 T_18,-0.528,4.34,2.366,5,0-8-0
10414,T_28 T_14 T_30 T_03 T_15 T_32 T_05,0.004,80.26,1.039,1,0-5-1
10415,T_31 T_19 T_38 T_08 T_02 T_23 T_01,-0.195,53.27,0.064,1,0-8-2
10416,T_30 T_35 T_03 T_08 T_26 T_31,1.272,39.17,1.065,2,1-5-1
10417,T_11 T_17 T_06 T_10 T_30 T_33 T_04,0.217,53.75,1.597,2,0-7-3
10418,T_08 T_21 T_25 T_30 T_00 T_07 T_09,0.855,61.25,0.329,4,1-6-3
10419,T_39 T_09 T_34 T_24 T_33 T_04 T_01,0.009,14.95,0.406,1,0-7-1
10420,T_39 T_35 T_21 T_03 T_27 T_02,1.056,41.74,1.25,3,0-5-2
10421,T_30 T_32 T_07 T_29 T_27 T_08,0.398,33.56,0.839,2,0-8-4
10422,T_27 T_35 T_26 T_11 T_01 T_25 T_13,0.013,35.04,1.162,4,1-7-2
10423,T_17 T_19 T_08 T_00 T_39 T_03 T_02,-0.013,9.13,1.235,5,1-3-4
10424,T_20 T_29 T_19 T_08 T_39 T_16,-0.954,15.98,0.302,5,1-9-1
10425,T_32 T_35 T_39 T_14 T_19 T_06,0.507,16.18,0.4,4,0-3-3
10426,T_06 T_33 T_32 T_16 T_39 T_24,-0.04,37.32,3.77,5,1-7-1
10427,T_33 T_18 T_12 T_31 T_09 T_06,-0.502,89.45,0.355,1,0-8-2
10428,T_27 T_11 T_35 T_33 T_34 T_04,1.106,20.6,2.193,2,0-7-0
10429,T_16 T_32 T_07 T_01 T_23 T_14 T_39,-1.25,41.62,1.084,3,1-5-4
10430,T_06 T_30 T_13 T_39 T_35 T_34,-0.422,31.16,6.899,5,1-3-3
10431,T_05 T_36 T_23 T_18 T_00 T_20 T_01,1.028,78.74,0.137,1,0-9-2
10432,T_13 T_09 T_06 T_25 T_19 T_35,0.316,5.01,3.548,2,1-6-4
10433,T_10 T_17 T_18 T_12 T_03 T_07,-0.048,19.65,1.352,1,0-8-1
10434,T_16 T_28 T_26 T_04 T_34 T_21,0.251,21.06,0.011,1,1-5-3
10435,T_10 T_24 T_18 T_11 T_36 T_05,0.179,99.3,0.612,2,0-8-4
10436,T_28 T_34 T_14 T_32 T_17 T_06 T_07,-1.517,57.08,1.047,5,1-3-0
10437,T_01 T_39 T_31 T_15 T_33 T_23 T_16,-0.349,13.9,0.754,5,1-5-0
10438,T_23 T_39 T_25 T_19 T_04 T_33,1.617,27.22,0.9,1,1-6-1
10439,T_35 T_36 T_07 T_19 T_17 T_06,-0.659,16.78,4.97,4,1-8-4
10440,T_22 T_39 T_27 T_33 T_25 T_34 T_29,-0.318,12.46,0.895,5,0-8-1
10441,T_18 T_01 T_39 T_19 T_00 T_08 T_04,-0.542,79.72,1.085,1,0-8-0
10442,T_07 T_01 T_04 T_31 T_29 T_13 T_11,-0.087,49.58,2.864,3,1-8-3
10443,T_28 T_14 T_20 T_23 T_19 T_13 T_39,-0.583,63.12,3.158,3,0-9-4
10444,T_24 T_12 T_26 T_23 T_33 T_36,0.487,33.13,0.176,4,0-8-1
10445,T_12 T_00 T_10 T_18 T_22 T_30,0.197,55.37,2.435,1,1-8-3
10446,T_37 T_16 T_39 T_18 T_12 T_06 T_08,0.774,25.76,1.318,3,0-8-3
10447,T_32 T_02 T_19 T_20 T_13 T_23,-1.051,30.8,0.287,5,0-9-4
10448,T_16 T_23 T_30 T_07 T_22 T_36,-0.34,65.22,0.615,1,0-8-2
10449,T_37 T_28 T_17 T_15 T_09 T_30 T_38,-0.226,15.04,0.092,4,1-8-3
10450,T_27 T_22 T_36 T_02 T_39 T_18,0.456,61.72,0.893,4,1-8-1
10451,T_36 T_14 T_22 T_23 T_04 T_20 T_30,-0.793,85.22,0.59,5,1-9-4
10452,T_32 T_16 T_27 T_37 T_36 T_19 T_08,0.916,12.04,0.963,3,0-8-3
10453,T_17 T_39 T_29 T_06 T_12 T_11 T_33,1.186,89.75,1.737,3,1-8-4
10454,T_12 T_20 T_27 T_15 T_04 T_21,-0.989,7.94,2.636,4,1-9-0
10455,T_34 T_37 T_18 T_09 T_12 T_31,-0.491,34.89,1.86,2,0-8-0
10456,T_17 T_31 T_25 T_37 T_23 T_16 T_27,-0.532,61.05,2.269,4,0-6-0
10457,T_35 T_13 T_27 T_36 T_15 T_06,2.632,55.94,4.014,4,1-8-4
10458,T_36 T_25 T_18 T_37 T_13 T_15 T_35,-0.43,9.64,4.14,1,0-8-4
10459,T_25 T_16 T_01 T_15 T_27 T_08 T_07,1.678,79.89,3.943,5,1-6-2
10460,T_31 T_23 T_26 T_21 T_18 T_00 T_01,-1.267,97.32,0.333,1,1-8-2
10461,T_28 T_22 T_35 T_16 T_34 T_33 T_12,-0.99,18.12,0.578,4,1-7-3
10462,T_30 T_28 T_32 T_06 T_25 T_08,-0.687,89.51,1.396,1,0-6-1
10463,T_33 T_25 T_27 T_09 T_35 T_05 T_20,-0.846,55.68,0.889,3,0-9-1
10464,T_31 T_10 T_16 T_29 T_05 T_03,-0.268,93.59,0.282,4,0-8-4
10465,T_36 T_19 T_24 T_27 T_17 T_28,-0.709,17.61,0.679,3,0-8-3
10466,T_25 T_12 T_26 T_11 T_04 T_37,-0.819,79.2,7.412,3,1-7-1
10467,T_26 T_02 T_03 T_38 T_27 T_13,1.158,5.98,0.852,5,1-8-1
10468,T_04 T_39 T_21 T_00 T_29 T_11,1.224,88.32,1.086,3,0-8-3
10469,T_25 T_34 T_28 T_36 T_23 T_37,0.949,67.42,0.013,1,1-8-2
10470,T_18 T_07 T_06 T_04 T_33 T_30,0.524,37.03,2.542,1,1-8-3
10471,T_09 T_33 T_00 T_22 T_34 T_39 T_26,0.093,19.05,1.067,2,0-4-3
10472,T_23 T_09 T_03 T_10 T_12 T_13,-0.497,81.65,0.218,5,0-7-3
10473,T_36 T_18 T_31 T_39 T_05 T_00 T_37,-0.953,60.32,6.919,2,1-8-0
10474,T_32 T_31 T_26 T_22 T_11 T_21 T_15,0.363,36.04,3.005,3,0-7-0
10475,T_20 T_08 T_30 T_23 T_12 T_37 T_11,-1.174,44.38,2.59,4,0-9-1
10476,T_26 T_32 T_31 T_01 T_06 T_20 T_14,-0.994,82.65,6.334,1,1-9-0
10477,T_04 T_29 T_02 T_31 T_17 T_36,1.153,33.89,1.047,4,0-8-1
10478,T_02 T_08 T_34 T_03 T_27 T_06,1.901,8.96,2.535,2,1-5-4
10479,T_07 T_02 T_11 T_39 T_08 T_01 T_29,0.393,91.13,0.462,2,0-8-1
10480,T_06 T_08 T_29 T_27 T_02 T_00,1.106,38.73,2.389,1,0-8-4
10481,T_26 T_06 T_28 T_10 T_33 T_11,-0.246,34.84,0.028,2,0-7-2
10482,T_05 T_22 T_24 T_28 T_18 T_30 T_36,-1.338,20.44,0.27,4,1-8-3
10483,T_26 T_37 T_29 T_32 T_35 T_07,0.612,89.74,1.108,2,1-8-0
10484,T_12 T_10 T_04 T_11 T_20 T_14,0.569,21.75,0.024,4,1-9-1
10485,T_21 T_00 T_34 T_37 T_10 T_29 T_23,0.072,63.67,1.24,3,0-8-4
10486,T_01 T_32 T_03 T_31 T_16 T_26 T_14,-0.242,88.08,1.48,5,1-5-3
10487,T_27 T_15 T_31 T_35 T_39 T_22,0.962,3.49,1.944,1,0-5-4
10488,T_05 T_29 T_30 T_20 T_38 T_31 T_21,-0.986,82.88,0.212,2,0-9-3
10489,T_01 T_24 T_11 T_38 T_33 T_34 T_04,-0.774,41.06,0.399,1,0-8-4
10490,T_17 T_39 T_34 T_16 T_00 T_19,-1.008,65.8,1.9,2,1-5-0
10491,T_33 T_10 T_24 T_39 T_11 T_13 T_12,0.085,37.24,2.147,3,1-7-0
10492,T_14 T_07 T_28 T_02 T_32 T_10,-1.088,69.55,0.052,4,1-3-0
10493,T_02 T_18 T_23 T_12 T_25 T_33,-0.684,25.43,1.555,1,0-8-1
10494,T_37 T_14 T_10 T_29 T_15 T_11 T_23,-0.706,2.19,3.074,3,1-8-2
10495,T_38 T_18 T_09 T_23 T_27 T_21,-0.261,94.78,0.143,3,0-8-3
10496,T_16 T_27 T_15 T_39 T_22 T_37 T_07,-1.487,1.64,1.066,5,1-5-3
10497,T_15 T_24 T_23 T_14 T_21 T_39 T_29,0.087,82.41,0.791,3,1-8-4
10498,T_18 T_09 T_29 T_07 T_02 T_01,1.247,16.91,4.899,5,0-8-3
10499,T_01 T_26 T_12 T_19 T_25 T_23,0.135,39.22,0.411,3,0-7-4
10500,T_06 T_21 T_31 T_35 T_26 T_03,1.541,82.25,0.767,4,0-5-2
10501,T_04 T_07 T_00 T_08 T_13 T_23 T_27,1.334,20.59,4.574,3,1-5-4
10502,T_15 T_28 T_25 T_35 T_13 T_14 T_10,0.778,86.57,0.803,4,1-6-4
10503,T_36 T_29 T_08 T_19 T_10 T_22 T_32,0.075,49.78,1.516,2,0-8-2
10504,T_01 T_26 T_19 T_15 T_06 T_00,0.023,36.62,0.067,3,0-5-1
10505,T_30 T_34 T_15 T_27 T_23 T_33,0.764,66.24,8.386,3,0-5-1
10506,T_09 T_06 T_19 T_14 T_25 T_34,-0.392,34.14,3.485,2,1-6-4
10507,T_39 T_28 T_02 T_22 T_07 T_11,-1.883,34.73,2.012,5,1-7-3
10508,T_32 T_38 T_39 T_02 T_10 T_05,0.492,73.35,0.125,4,1-8-4
10509,T_07 T_12 T_18 T_17 T_01 T_27 T_28,-1.131,30.98,0.156,2,1-8-3
10510,T_39 T_27 T_21 T_08 T_35 T_29 T_32,-0.962,20.08,1.575,2,1-8-4
10511,T_06 T_22 T_39 T_13 T_15 T_24 T_10,0.0,80.76,0.671,1,0-7-1
10512,T_20 T_23 T_36 T_35 T_18 T_08 T_21,-0.095,80.54,1.95,2,0-9-2
10513,T_38 T_01 T_33 T_27 T_24 T_32 T_18,-1.412,49.76,1.824,5,0-8-0
10514,T_28 T_16 T_00 T_27 T_38 T_08,0.165,52.67,3.648,5,1-8-0
10515,T_37 T_02 T_10 T_09 T_31 T_15,0.966,69.61,0.661,5,1-5-3
10516,T_37 T_28 T_39 T_19 T_30 T_03,-1.128,50.93,1.725,4,1-3-2
10517,T_18 T_38 T_31 T_17 T_37 T_09 T_15,1.272,41.7,3.004,4,1-8-1
10518,T_25 T_19 T_34 T_04 T_16 T_33,-1.56,99.49,1.35,3,0-6-0
10519,T_11 T_30 T_35 T_02 T_10 T_08,2.117,14.76,3.552,2,1-7-0
10520,T_17 T_38 T_39 T_29 T_04 T_30,-0.411,59.27,0.281,5,1-8-2
10521,T_21 T_12 T_03 T_02 T_06 T_18,0.146,88.59,2.648,2,1-8-2
10522,T_26 T_35 T_01 T_24 T_36 T_03,-1.892,68.72,5.729,3,0-8-4
10523,T_29 T_12 T_36 T_04 T_34 T_21,-0.062,88.09,0.807,3,1-8-0
10524,T_29 T_03 T_30 T_15 T_19 T_17,0.228,33.63,0.912,5,1-8-1
10525,T_03 T_38 T_08 T_25 T_11 T_27 T_21,-0.086,27.2,0.174,2,0-8-3
10526,T_00 T_38 T_31 T_09 T_39 T_01,-0.563,85.13,2.052,3,1-8-0
10527,T_31 T_05 T_39 T_03 T_28 T_00 T_37,-0.947,39.41,1.608,1,1-5-3
10528,T_10 T_06 T_22 T_11 T_08 T_16 T_28,1.131,70.97,0.082,4,0-7-4
10529,T_39 T_02 T_31 T_30 T_33 T_04,0.031,14.77,2.79,2,1-5-3
10530,T_11 T_36 T_24 T_19 T_22 T_17 T_35,1.541,75.58,3.536,5,1-8-1
10531,T_38 T_12 T_25 T_34 T_00 T_01 T_08,-0.526,54.9,4.753,3,1-8-4
10532,T_31 T_38 T_24 T_08 T_25 T_35,-0.435,26.86,1.578,3,0-8-1
10533,T_34 T_20 T_06 T_33 T_36 T_23,0.816,49.45,1.205,3,1-9-4
10534,T_09 T_26 T_04 T_20 T_21 T_36 T_05,-1.623,69.69,4.177,4,1-9-4
10535,T_08 T_03 T_33 T_18 T_26 T_39 T_07,-1.213,1.19,1.017,2,0-8-3
10536,T_37 T_13 T_34 T_20 T_32 T_39 T_36,1.097,63.75,2.131,3,1-9-2
10537,T_29 T_25 T_11 T_13 T_09 T_28,-1.172,54.16,1.911,4,1-8-2
10538,T_05 T_10 T_12 T_32 T_26 T_39,-1.819,22.03,0.931,1,1-7-3
10539,T_02 T_37 T_23 T_09 T_29 T_35,1.869,75.3,0.182,2,1-8-1
10540,T_33 T_26 T_00 T_31 T_09 T_32,-1.394,30.35,0.043,5,0-5-1
10541,T_27 T_13 T_20 T_25 T_02 T_37 T_09,0.184,27.69,1.118,2,0-9-1
10542,T_12 T_00 T_06 T_16 T_19 T_22 T_13,0.069,47.12,1.312,3,0-7-2
10543,T_00 T_20 T_29 T_26 T_05 T_15,-2.811,67.61,3.46,5,0-9-1
10544,T_21 T_19 T_24 T_34 T_31 T_30,-0.267,92.88,1.07,2,1-7-2
10545,T_18 T_19 T_25 T_01 T_28 T_26,0.448,14.14,0.66,5,1-8-4
10546,T_08 T_02 T_36 T_39 T_00 T_09,0.354,39.65,1.24,2,0-8-3
10547,T_06 T_22 T_05 T_29 T_20 T_10 T_09,0.904,6.7,0.544,1,0-9-4
10548,T_10 T_23 T_01 T_34 T_32 T_16 T_21,-0.387,75.86,0.192,1,1-5-2
10549,T_36 T_16 T_03 T_32 T_08 T_34,0.713,44.77,0.24,1,0-8-2
10550,T_29 T_00 T_10 T_20 T_31 T_14,-0.689,70.69,0.769,2,0-9-4
10551,T_11 T_37 T_35 T_12 T_04 T_38,-1.41,32.22,0.026,5,0-8-3
10552,T_29 T_07 T_38 T_01 T_37 T_36 T_03,-1.298,84.43,0.497,1,1-8-3
10553,T_16 T_32 T_34 T_00 T_26 T_21,-1.462,53.48,3.098,4,1-5-2
10554,T_03 T_01 T_19 T_32 T_15 T_31,1.01,94.36,0.535,4,1-5-3
10555,T_03 T_07 T_13 T_24 T_12 T_04,-1.515,7.88,0.235,1,0-7-1
10556,T_33 T_00 T_07 T_29 T_25 T_16,0.274,51.43,5.955,1,0-8-4
10557,T_32 T_22 T_30 T_03 T_11 T_31 T_08,-0.266,76.65,1.948,3,1-7-1
10558,T_37 T_02 T_39 T_07 T_03 T_00,-0.103,60.02,0.124,4,0-3-4
10559,T_02 T_31 T_39 T_22 T_11 T_05 T_04,1.364,2.32,0.129,4,1-7-4
10560,T_01 T_24 T_35 T_25 T_34 T_38,-0.438,97.23,1.894,1,1-8-0
10561,T_15 T_28 T_33 T_37 T_23 T_26 T_07,0.612,29.83,1.554,3,1-5-3
10562,T_27 T_33 T_05 T_10 T_28 T_16 T_38,0.038,24.93,0.142,5,1-8-2
10563,T_35 T_21 T_20 T_04 T_23 T_29,-0.152,48.57,0.508,3,1-9-4
10564,T_31 T_35 T_27 T_04 T_23 T_13,2.3,54.22,5.291,3,1-5-1
10565,T_29 T_24 T_33 T_34 T_19 T_06,-1.441,76.63,1.697,4,1-8-2
10566,T_39 T_19 T_07 T_30 T_14 T_16,1.289,39.33,1.161,1,1-5-0
10567,T_08 T_39 T_22 T_15 T_09 T_07 T_18,0.656,44.0,0.576,1,1-8-4
10568,T_01 T_21 T_03 T_18 T_09 T_24 T_06,-0.48,53.5,0.287,1,0-8-2
10569,T_18 T_03 T_10 T_06 T_13 T_22 T_32,1.629,39.44,1.03,3,1-8-1
10570,T_04 T_09 T_33 T_13 T_26 T_36 T_24,-1.848,91.45,5.112,3,1-8-4
10571,T_34 T_12 T_32 T_37 T_31 T_28,-0.522,85.13,0.1,2,1-7-0
10572,T_02 T_01 T_00 T_34 T_29 T_20,-1.208,45.5,9.416,5,1-9-1
10573,T_07 T_26 T_37 T_31 T_10 T_24,0.412,0.02,0.466,2,0-7-2
10574,T_39 T_36 T_28 T_05 T_20 T_29,-1.113,90.09,1.051,5,0-9-2
10575,T_12 T_08 T_24 T_31 T_17 T_32 T_18,0.433,12.43,0.092,2,1-8-4
10576,T_34 T_00 T_12 T_26 T_16 T_21,-0.186,24.45,1.758,2,1-7-0
10577,T_06 T_08 T_29 T_11 T_17 T_31 T_09,-0.479,15.24,1.322,2,0-8-4
10578,T_12 T_24 T_01 T_06 T_32 T_39,0.389,17.98,2.197,2,0-7-0
10579,T_12 T_14 T_30 T_33 T_09 T_15 T_00,-0.269,80.29,1.565,3,1-7-1
10580,T_08 T_05 T_38 T_27 T_30 T_32 T_29,-1.089,57.95,1.016,5,0-8-0
10581,T_23 T_27 T_17 T_28 T_02 T_31,2.801,95.61,2.677,2,1-5-2
10582,T_28 T_24 T_13 T_03 T_00 T_05 T_25,-0.487,23.15,0.051,2,0-7-2
10583,T_04 T_27 T_36 T_17 T_05 T_26 T_19,-2.218,48.56,1.558,1,1-8-0
10584,T_35 T_32 T_18 T_19 T_07 T_08 T_13,-0.842,97.74,0.242,3,1-8-0
10585,T_34 T_00 T_14 T_10 T_29 T_36 T_13,-1.267,82.64,1.145,4,0-8-1
10586,T_27 T_03 T_19 T_37 T_29 T_06,0.826,72.86,3.132,1,1-8-3
10587,T_31 T_08 T_39 T_29 T_26 T_35,0.322,18.9,0.307,4,0-8-0
10588,T_37 T_32 T_06 T_02 T_36 T_09,0.399,76.94,5.492,2,1-8-2
10589,T_34 T_39 T_32 T_13 T_09 T_26 T_14,-0.37,34.76,4.388,5,0-4-0
10590,T_09 T_17 T_19 T_35 T_13 T_32 T_36,-0.279,53.05,1.072,4,1-8-4
10591,T_16 T_06 T_04 T_09 T_22 T_36,-0.371,60.92,0.012,4,1-8-2
10592,T_28 T_08 T_35 T_38 T_39 T_10,-0.081,60.94,3.119,4,0-8-4
10593,T_01 T_00 T_04 T_19 T_31 T_35 T_33,0.835,72.65,4.256,5,1-5-1
10594,T_21 T_25 T_29 T_24 T_22 T_35 T_30,0.336,66.17,0.384,1,1-8-1
10595,T_07 T_21 T_25 T_29 T_06 T_04 T_37,0.5,6.84,4.958,3,0-8-1
10596,T_18 T_38 T_09 T_30 T_39 T_13,0.5,45.73,4.909,5,0-8-0
10597,T_08 T_11 T_00 T_31 T_21 T_09 T_15,0.884,66.4,1.275,1,0-7-3
10598,T_33 T_25 T_15 T_29 T_26 T_04 T_08,0.288,29.6,3.199,2,0-8-0
10599,T_22 T_20 T_30 T_01 T_11 T_25 T_31,0.359,31.31,1.177,1,1-9-4
10600,T_12 T_11 T_07 T_13 T_26 T_24 T_33,1.189,12.46,1.66,4,0-7-1
10601,T_16 T_20 T_36 T_08 T_18 T_37 T_23,-0.665,41.86,0.771,1,1-9-3
10602,T_36 T_38 T_24 T_05 T_11 T_39 T_17,-0.856,98.68,0.347,1,1-8-2
10603,T_25 T_21 T_11 T_15 T_12 T_28,-1.186,28.53,2.745,2,0-7-4
10604,T_23 T_21 T_10 T_19 T_06 T_35,0.183,53.14,0.003,2,0-3-0
10605,T_27 T_24 T_22 T_26 T_15 T_02,-1.854,74.32,1.733,1,1-7-3
10606,T_36 T_05 T_38 T_10 T_30 T_25 T_14,0.462,1.35,4.0,5,1-8-1
10607,T_05 T_20 T_13 T_35 T_25 T_38 T_16,-0.109,90.04,0.5,2,0-9-1
10608,T_12 T_38 T_37 T_07 T_14 T_06 T_23,1.135,38.66,0.81,4,0-8-3
10609,T_24 T_26 T_35 T_22 T_07 T_15,-0.672,86.91,1.771,5,1-7-0
10610,T_05 T_24 T_02 T_28 T_11 T_34,-0.203,3.89,0.567,1,1-7-0
10611,T_16 T_19 T_31 T_07 T_02 T_22,1.122,14.57,3.761,4,0-5-0
10612,T_00 T_15 T_29 T_33 T_06 T_32,1.383,32.25,0.913,4,1-8-0
10613,T_03 T_27 T_07 T_11 T_22 T_29,-0.68,34.55,1.743,5,1-8-3
10614,T_21 T_24 T_04 T_15 T_30 T_00,0.182,84.78,0.513,1,1-7-4
10615,T_06 T_07 T_18 T_20 T_33 T_00,0.294,1.12,0.085,4,1-9-2
10616,T_00 T_36 T_14 T_11 T_38 T_18,0.374,64.11,0.382,2,1-8-1
10617,T_01 T_18 T_15 T_38 T_10 T_34,-0.263,13.13,0.095,2,1-8-3
10618,T_32 T_29 T_37 T_13 T_25 T_15 T_00,1.281,82.32,1.264,5,0-8-2
10619,T_00 T_03 T_11 T_36 T_12 T_14,-1.89,77.86,1.767,2,0-8-1
10620,T_15 T_07 T_36 T_35 T_14 T_06,-0.421,49.99,0.091,3,1-8-1
10621,T_25 T_09 T_15 T_08 T_23 T_30,0.448,21.27,0.19,1,1-6-2
10622,T_08 T_38 T_39 T_11 T_33 T_28 T_25,0.457,63.45,1.329,4,0-8-3
10623,T_18 T_04 T_26 T_00 T_37 T_01 T_12,1.353,15.63,3.211,4,0-8-0
10624,T_29 T_14 T_23 T_06 T_27 T_05 T_28,1.198,19.0,1.978,5,0-8-3
10625,T_32 T_07 T_26 T_01 T_06 T_03,-0.286,62.67,0.221,5,0-4-2
10626,T_01 T_34 T_35 T_07 T_32 T_02,1.3,99.12,4.37,4,0-3-1
10627,T_13 T_19 T_16 T_28 T_07 T_29,-0.714,89.11,4.989,2,0-8-1
10628,T_07 T_39 T_14 T_03 T_02 T_15,0.931,59.31,0.786,5,0-5-0
10629,T_19 T_38 T_24 T_37 T_16 T_18,1.811,53.85,1.914,3,0-8-1
10630,T_22 T_34 T_36 T_12 T_38 T_26,1.215,99.84,1.356,5,0-8-3
10631,T_28 T_13 T_15 T_07 T_02 T_37 T_18,0.106,54.74,5.695,2,0-8-2
10632,T_14 T_11 T_26 T_29 T_04 T_24 T_13,-0.332,42.01,1.422,1,0-8-3
10633,T_07 T_33 T_19 T_17 T_11 T_27 T_04,-1.529,90.96,6.436,3,1-7-3
10634,T_33 T_35 T_04 T_00 T_16 T_18,0.311,23.42,0.445,5,0-8-2
10635,T_19 T_13 T_16 T_20 T_00 T_14 T_11,-1.115,9.75,0.848,1,1-9-3
10636,T_33 T_17 T_23 T_03 T_15 T_35 T_34,-0.793,63.41,3.041,1,1-5-3
10637,T_15 T_14 T_36 T_03 T_32 T_17 T_26,-1.191,9.58,3.061,4,0-8-1
10638,T_01 T_32 T_39 T_36 T_27 T_17 T_24,-0.46,37.31,2.635,2,0-8-4
10639,T_38 T_13 T_35 T_30 T_15 T_34,-0.028,42.36,3.927,4,1-8-2
10640,T_30 T_21 T_11 T_04 T_02 T_14 T_10,0.274,54.75,2.425,2,0-7-1
10641,T_12 T_22 T_29 T_10 T_36 T_05 T_34,-0.601,99.17,2.022,1,0-8-1
10642,T_38 T_05 T_27 T_19 T_12 T_30 T_14,1.069,22.1,1.228,5,0-8-2
10643,T_12 T_05 T_07 T_24 T_35 T_38,-0.208,37.58,1.259,2,1-8-0
10644,T_24 T_15 T_38 T_08 T_36 T_30,-0.788,13.22,1.042,2,0-8-2
10645,T_01 T_19 T_00 T_29 T_35 T_32,0.226,60.76,1.936,1,1-8-1
10646,T_36 T_07 T_19 T_22 T_04 T_10,1.964,72.77,1.044,3,0-8-0
10647,T_34 T_01 T_00 T_18 T_24 T_19,0.335,48.21,0.319,1,0-8-0
10648,T_01 T_37 T_18 T_16 T_29 T_24 T_28,-0.363,24.58,0.225,1,0-8-4
10649,T_27 T_00 T_14 T_39 T_30 T_04,-1.527,62.09,5.167,2,1-5-4
10650,T_15 T_06 T_20 T_22 T_39 T_32,-0.219,53.92,0.05,1,0-9-1
10651,T_26 T_39 T_04 T_22 T_08 T_06 T_00,0.235,17.12,0.223,4,0-4-2
10652,T_04 T_16 T_22 T_26 T_02 T_27,-0.388,40.57,1.179,1,1-5-3
10653,T_23 T_18 T_08 T_28 T_03 T_15,-1.665,43.52,0.61,5,1-8-0
10654,T_15 T_17 T_19 T_09 T_34 T_08 T_11,-0.851,98.26,1.041,1,1-7-1
10655,T_26 T_11 T_29 T_39 T_17 T_00,1.455,84.93,0.25,1,0-8-1
10656,T_16 T_29 T_03 T_22 T_28 T_14 T_09,1.434,73.44,0.281,5,1-8-2
10657,T_28 T_32 T_14 T_09 T_24 T_21 T_25,-0.887,88.88,3.225,3,0-7-3
10658,T_29 T_26 T_11 T_38 T_05 T_02,0.673,73.55,2.847,3,0-8-1
10659,T_15 T_39 T_35 T_38 T_08 T_11,-1.179,90.34,0.22,3,0-8-3
10660,T_39 T_20 T_21 T_07 T_10 T_30,1.404,5.46,2.204,4,0-9-3
10661,T_33 T_19 T_26 T_12 T_36 T_18,0.245,45.61,1.88,5,0-8-2
10662,T_20 T_19 T_33 T_11 T_05 T_26 T_32,0.95,74.69,2.499,4,1-9-3
10663,T_31 T_16 T_00 T_21 T_02 T_18,-1.715,58.33,1.287,4,0-8-2
10664,T_36 T_23 T_11 T_35 T_08 T_31,0.678,17.52,0.629,4,1-8-4
